,Record Number,Title,Token,Tag
0,1,LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas,LOUIS,Brand
2,1,LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas,M40096,MPN
3,1,LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas,Handbag,Type
4,1,LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas,Priscilla,Model
5,1,LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas,Multi-color,Color
6,1,LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas,canvas,Fabric Type
7,1,LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas,Multi-color,Color
8,1,LOUIS VUITTON M40096 Handbag Priscilla Multi-color canvas Multi-color canvas,canvas,Fabric Type
9,2,LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442,LOUIS,Brand
11,2,LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442,Petit,Model
13,2,LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442,Drawstring,Closure
14,2,LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442,Shoulder,Type
15,2,LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442,Bag,Type
16,2,LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442,Monogram,Pattern
17,2,LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442,Leather,Material
18,2,LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442,M42226,MPN
19,2,LOUIS VUITTON Petit Noe Drawstring Shoulder Bag Monogram Leather M42226 39SD442,39SD442,No Tag
20,3,LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523,LOUIS,Brand
22,3,LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523,Damier,Product Line
23,3,LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523,Azur,Color
24,3,LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523,Pochette,Product Line
25,3,LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523,Bosphore,Model
26,3,LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523,Shoulder,Type
27,3,LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523,Bag,Type
28,3,LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523,N51112,MPN
29,3,LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523,LV,Brand
30,3,LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523,Auth,No Tag
31,3,LOUIS VUITTON Damier Azur Pochette Bosphore Shoulder Bag N51112 LV Auth yt523,yt523,No Tag
32,4,GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002,GUCCI,Brand
33,4,GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002,Bamboo,Product Line
34,4,GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002,2Way,Features
35,4,GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002,Shoulder,Type
36,4,GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002,Bag,Type
37,4,GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002,Leather,Material
38,4,GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002,Brown,Color
39,4,GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002,Auth,No Tag
40,4,GUCCI Bamboo 2Way Shoulder Bag Leather Brown Auth fm1002,fm1002,MPN
41,5,Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128,Rank,No Tag
42,5,Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128,AB,No Tag
43,5,Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128,Vintage,No Tag
44,5,Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128,Gucci,Brand
45,5,Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128,Sherry,Product Line
47,5,Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128,PVC,Material
49,5,Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128,Clutch,Type
50,5,Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128,bag,Type
51,5,Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128,Brown,Color
52,5,Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128,From,No Tag
53,5,Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128,Japan,No Tag
54,5,Rank AB Vintage Gucci Sherry line PVC Leather Clutch bag Brown From Japan A128,A128,No Tag
55,6,1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag,1970s,Theme
56,6,1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag,NYC,Country/Region of Manufacture
57,6,1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag,Bonnie,Model
59,6,1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag,Coach,Brand
60,6,1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag,Brown,Color
61,6,1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag,Gray,Color
62,6,1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag,Leather,Material
63,6,1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag,Saddle,Type
64,6,1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag,Pouch,Type
65,6,1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag,Crossbody,Type
66,6,1970s NYC Bonnie Cashin Coach Brown Gray Leather Saddle Pouch Crossbody Bag,Bag,Type
67,7,LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071,LOUIS,Brand
69,7,LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071,Epi,Material
70,7,LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071,Serviette,Model
72,7,LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071,Business,Occasion
73,7,LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071,Bag,Type
74,7,LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071,Brown,Color
75,7,LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071,M54358,MPN
76,7,LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071,LV,Brand
77,7,LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071,Auth,No Tag
78,7,LOUIS VUITTON Epi Serviette Fermoir Business Bag Brown M54358 LV Auth gt2071,gt2071,No Tag
79,8,Womens Handbag,Womens,Department
80,8,Womens Handbag,Handbag,Type
81,9,Chanel Leo Lion Flap Bag Chevron Lambskin Medium,Chanel,Brand
82,9,Chanel Leo Lion Flap Bag Chevron Lambskin Medium,Leo,Model
84,9,Chanel Leo Lion Flap Bag Chevron Lambskin Medium,Flap,Type
85,9,Chanel Leo Lion Flap Bag Chevron Lambskin Medium,Bag,Type
86,9,Chanel Leo Lion Flap Bag Chevron Lambskin Medium,Chevron,Pattern
87,9,Chanel Leo Lion Flap Bag Chevron Lambskin Medium,Lambskin,Material
88,9,Chanel Leo Lion Flap Bag Chevron Lambskin Medium,Medium,Size
89,10,"Gucci White "" HoBo "" Vintage Handbag Authenticated Two Tone "" Genuine Leather """,Gucci,Brand
90,10,"Gucci White "" HoBo "" Vintage Handbag Authenticated Two Tone "" Genuine Leather """,White,Color
91,10,"Gucci White "" HoBo "" Vintage Handbag Authenticated Two Tone "" Genuine Leather """,Handbag,Type
92,10,"Gucci White "" HoBo "" Vintage Handbag Authenticated Two Tone "" Genuine Leather """,Authenticated,No Tag
93,10,"Gucci White "" HoBo "" Vintage Handbag Authenticated Two Tone "" Genuine Leather """,Two,No Tag
94,10,"Gucci White "" HoBo "" Vintage Handbag Authenticated Two Tone "" Genuine Leather """,Tone,No Tag
95,10,"Gucci White "" HoBo "" Vintage Handbag Authenticated Two Tone "" Genuine Leather """,Leather,Material
96,77,"TUMI Women Voyageur Backpack Black Floral 15.5 "" x12 .25 "" 1100401041 TM-113",Women,Department
97,77,"TUMI Women Voyageur Backpack Black Floral 15.5 "" x12 .25 "" 1100401041 TM-113",Voyageur,Model
98,77,"TUMI Women Voyageur Backpack Black Floral 15.5 "" x12 .25 "" 1100401041 TM-113",Backpack,Type
99,77,"TUMI Women Voyageur Backpack Black Floral 15.5 "" x12 .25 "" 1100401041 TM-113",Black,Color
100,77,"TUMI Women Voyageur Backpack Black Floral 15.5 "" x12 .25 "" 1100401041 TM-113",Floral,Pattern
101,77,"TUMI Women Voyageur Backpack Black Floral 15.5 "" x12 .25 "" 1100401041 TM-113",15.5,"Measurement, dimension"
103,77,"TUMI Women Voyageur Backpack Black Floral 15.5 "" x12 .25 "" 1100401041 TM-113",TM-113,MPN
104,78,"Louis Vuitton Epi Marley MM M94615 Women 's Handbag , Shoulder Bag Fuchsia BF531772",Louis,Brand
106,78,"Louis Vuitton Epi Marley MM M94615 Women 's Handbag , Shoulder Bag Fuchsia BF531772",Epi,Material
107,78,"Louis Vuitton Epi Marley MM M94615 Women 's Handbag , Shoulder Bag Fuchsia BF531772",Marley,Model
109,78,"Louis Vuitton Epi Marley MM M94615 Women 's Handbag , Shoulder Bag Fuchsia BF531772",M94615,MPN
110,78,"Louis Vuitton Epi Marley MM M94615 Women 's Handbag , Shoulder Bag Fuchsia BF531772",Women,Department
112,78,"Louis Vuitton Epi Marley MM M94615 Women 's Handbag , Shoulder Bag Fuchsia BF531772",Handbag,Type
113,78,"Louis Vuitton Epi Marley MM M94615 Women 's Handbag , Shoulder Bag Fuchsia BF531772",",",No Tag
114,78,"Louis Vuitton Epi Marley MM M94615 Women 's Handbag , Shoulder Bag Fuchsia BF531772",Shoulder,Type
115,78,"Louis Vuitton Epi Marley MM M94615 Women 's Handbag , Shoulder Bag Fuchsia BF531772",Bag,Type
116,78,"Louis Vuitton Epi Marley MM M94615 Women 's Handbag , Shoulder Bag Fuchsia BF531772",Fuchsia,Color
117,78,"Louis Vuitton Epi Marley MM M94615 Women 's Handbag , Shoulder Bag Fuchsia BF531772",BF531772,MPN
118,79,"Auth Louis Vuitton Monogram Josephine PM Blue Mini Lin Hand bag 0J130140n """,Auth,No Tag
119,79,"Auth Louis Vuitton Monogram Josephine PM Blue Mini Lin Hand bag 0J130140n """,Louis,Brand
121,79,"Auth Louis Vuitton Monogram Josephine PM Blue Mini Lin Hand bag 0J130140n """,Monogram,Pattern
122,79,"Auth Louis Vuitton Monogram Josephine PM Blue Mini Lin Hand bag 0J130140n """,Josephine,Model
124,79,"Auth Louis Vuitton Monogram Josephine PM Blue Mini Lin Hand bag 0J130140n """,Blue,Color
125,79,"Auth Louis Vuitton Monogram Josephine PM Blue Mini Lin Hand bag 0J130140n """,Mini,Size
126,79,"Auth Louis Vuitton Monogram Josephine PM Blue Mini Lin Hand bag 0J130140n """,Lin,No Tag
127,79,"Auth Louis Vuitton Monogram Josephine PM Blue Mini Lin Hand bag 0J130140n """,Hand,Type
129,79,"Auth Louis Vuitton Monogram Josephine PM Blue Mini Lin Hand bag 0J130140n """,0J130140n,No Tag
131,210,"Women 's 16 "" H Canvas Backpack Great Designs - Flower Native Owl Safari Dragonfly",16,"Measurement, dimension"
132,210,"Women 's 16 "" H Canvas Backpack Great Designs - Flower Native Owl Safari Dragonfly",Canvas,Fabric Type
133,210,"Women 's 16 "" H Canvas Backpack Great Designs - Flower Native Owl Safari Dragonfly",Backpack,Type
134,210,"Women 's 16 "" H Canvas Backpack Great Designs - Flower Native Owl Safari Dragonfly",Great,No Tag
135,210,"Women 's 16 "" H Canvas Backpack Great Designs - Flower Native Owl Safari Dragonfly",Designs,No Tag
136,210,"Women 's 16 "" H Canvas Backpack Great Designs - Flower Native Owl Safari Dragonfly",-,No Tag
137,210,"Women 's 16 "" H Canvas Backpack Great Designs - Flower Native Owl Safari Dragonfly",Flower,Pattern
138,210,"Women 's 16 "" H Canvas Backpack Great Designs - Flower Native Owl Safari Dragonfly",Native,Theme
139,210,"Women 's 16 "" H Canvas Backpack Great Designs - Flower Native Owl Safari Dragonfly",Owl,Pattern
140,210,"Women 's 16 "" H Canvas Backpack Great Designs - Flower Native Owl Safari Dragonfly",Safari,Theme
142,211,GUCCI Logo GG Pattern Hand Tote Bag Canvas Leather Black Gold Italy 30SD226,GUCCI,Brand
143,211,GUCCI Logo GG Pattern Hand Tote Bag Canvas Leather Black Gold Italy 30SD226,Logo,Accents
144,211,GUCCI Logo GG Pattern Hand Tote Bag Canvas Leather Black Gold Italy 30SD226,GG,Pattern
145,211,GUCCI Logo GG Pattern Hand Tote Bag Canvas Leather Black Gold Italy 30SD226,Pattern,No Tag
146,211,GUCCI Logo GG Pattern Hand Tote Bag Canvas Leather Black Gold Italy 30SD226,Hand,Type
147,211,GUCCI Logo GG Pattern Hand Tote Bag Canvas Leather Black Gold Italy 30SD226,Tote,Type
148,211,GUCCI Logo GG Pattern Hand Tote Bag Canvas Leather Black Gold Italy 30SD226,Bag,Type
149,211,GUCCI Logo GG Pattern Hand Tote Bag Canvas Leather Black Gold Italy 30SD226,Canvas,Fabric Type
150,211,GUCCI Logo GG Pattern Hand Tote Bag Canvas Leather Black Gold Italy 30SD226,Leather,Material
151,211,GUCCI Logo GG Pattern Hand Tote Bag Canvas Leather Black Gold Italy 30SD226,Black,Color
152,211,GUCCI Logo GG Pattern Hand Tote Bag Canvas Leather Black Gold Italy 30SD226,Gold,Color
153,211,GUCCI Logo GG Pattern Hand Tote Bag Canvas Leather Black Gold Italy 30SD226,Italy,Country/Region of Manufacture
154,211,GUCCI Logo GG Pattern Hand Tote Bag Canvas Leather Black Gold Italy 30SD226,30SD226,MPN
155,212,LOUIS VUITTON MINI LOOPING HAND BAG DU2037 DAMIER EBENE N51158 SP ORDER 71057,LOUIS,Brand
157,212,LOUIS VUITTON MINI LOOPING HAND BAG DU2037 DAMIER EBENE N51158 SP ORDER 71057,MINI,Size
158,212,LOUIS VUITTON MINI LOOPING HAND BAG DU2037 DAMIER EBENE N51158 SP ORDER 71057,LOOPING,No Tag
159,212,LOUIS VUITTON MINI LOOPING HAND BAG DU2037 DAMIER EBENE N51158 SP ORDER 71057,HAND,Type
